card_id,surface,image_name,kana,kanji,ruby,pos,lemma,forms,forms_kana,accent_pattern,accent_drop,accent_variants,accent_source,devoice_vowel,devoice_mora,devoice_index,devoice_env,devoice_reading,devoice_source
N101,靴,N101.jpg,くつ,靴,靴[くつ],名詞,靴,{},{},,2,,手動（β課）,u,く,1,k＿ts,くつ,手動（β課・無声化環境）
N102,薬,N102.jpg,くすり,薬,薬[くすり],名詞,薬,{},{},無核,0,,手動（β課）,u,く,1,k＿s,くすり,手動（β課・無声化環境）
N103,机,N103.jpg,つくえ,机,机[つくえ],名詞,机,{},{},無核,0,,手動（β課）,u,つ,1,ts＿k,つくえ,手動（β課・無声化環境）
N104,人,N104.jpg,ひと,人,人[ひと],名詞,人,{},{},無核,0,,手動（β課）,i,ひ,1,h＿t,ひと,手動（β課・無声化環境）
N105,寿司,N105.jpg,すし,寿司,寿司[すし],名詞,寿司,{},{},,2,,手動（β課）,u,す,1,s＿sh,すし,手動（β課・無声化環境）
V101,聞きます,V101.jpg,ききます,聞きます,聞[き]きます,動詞I,聞く,"{""masu"":""聞きます"",""dictionary"":""聞く"",""nai"":""聞かない"",""te"":""聞いて"",""ta"":""聞いた""}","{""masu"":""ききます"",""dictionary"":""きく"",""nai"":""きかない"",""te"":""きいて"",""ta"":""きいた""}",0,0,,手動（β課）,i,き,1,k＿k,きく,手動（β課・無声化環境）
V102,吹きます,V102.jpg,ふきます,吹きます,吹[ふ]きます,動詞I,吹く,"{""masu"":""吹きます"",""dictionary"":""吹く"",""nai"":""吹かない"",""te"":""吹いて"",""ta"":""吹いた""}","{""masu"":""ふきます"",""dictionary"":""ふく"",""nai"":""ふかない"",""te"":""ふいて"",""ta"":""ふいた""}",0,0,-2@1@手動（β課）,手動（β課）,u,ふ,1,f＿k,ふく,手動（β課・無声化環境）
V103,捨てます,V103.jpg,すてます,捨てます,捨[す]てます,動詞II,捨てる,"{""masu"":""捨てます"",""dictionary"":""捨てる"",""nai"":""捨てない"",""te"":""捨てて"",""ta"":""捨てた""}","{""masu"":""すてます"",""dictionary"":""すてる"",""nai"":""すてない"",""te"":""すてて"",""ta"":""すてた""}",0,0,,手動（β課）,u,す,1,s＿t,すてる,手動（β課・無声化環境）
A101,好き,A101.jpg,すき,好き,好[す]き,な形容詞,好き,"{""basic"":""好き"",""negative"":""好きではない"",""past"":""好きだった"",""pastNegative"":""好きではなかった""}","{""basic"":""すき"",""negative"":""すきではない"",""past"":""すきだった"",""pastNegative"":""すきではなかった""}",,2,,手動（β課）,u,す,1,s＿k,すき,手動（β課・無声化環境）
A102,低い,A102.jpg,ひくい,低い,低[ひく]い,い形容詞,低い,"{""basic"":""低い"",""negative"":""低くない"",""past"":""低かった"",""pastNegative"":""低くなかった""}","{""basic"":""ひくい"",""negative"":""ひくくない"",""past"":""ひくかった"",""pastNegative"":""ひくくなかった""}",-2,2,,手動（β課）,i,ひ,1,h＿k,ひくい,手動（β課・無声化環境）
